,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/13/15,HUSKER HEROS,,498,,,498,,
11/13/15,KNOLL,288,,,,288,,
11/13/15,EAST CAMPUS,46,171,114,,331,377,EAST
11/13/15,CORNER DELI,7,39,,,46,,
11/13/15,HARPER,478,755,598,,1831,1831,HARPER
11/13/15,,,,,,,,
11/13/15,SELLECK,625,1287,924,,2836,2989,SELLECK
11/13/15,HUSKERS TO GO,,153,,,153,,
,,,,,,,9414,TOTAL SERVED
,,,,,,,,
,,,,,,,,
DATE,DINING HALL,BREAKFAST,LUNCH,DINNER,LATE NIGHT,TOTAL,UNIT TOTAL,
11/14/15,ABEL,186,470,589,,1245,1245,ABEL
11/14/15,HUSKER HOAGIES,,,,,0,,
11/14/15,CPN,,,,,0,534,CPN
11/14/15,HUSKER HEROS,,534,,,534,,
11/14/15,KNOLL,,,,,0,,
11/14/15,EAST CAMPUS,,26,30,,56,56,EAST
11/14/15,CORNER DELI,,,,,0,,
11/14/15,HARPER,131,426,454,,1011,1011,HARPER
11/14/15,,,,,,,,
11/14/15,SELLECK,148,514,772,,1434,1434,SELLECK
11/14/15,HUSKERS TO GO,,,,,0,,
,,,,,,,4280,TOTAL SERVED
